,predictions,attention_mean
2023-11-14,0.49603966,0.14285715
2023-11-15,0.50408685,0.14285715
2023-11-16,0.49618578,0.14285715
2023-11-17,0.4901518,0.14285713
2023-11-20,0.48197338,0.14285715
2023-11-21,0.4641951,0.14285715
2023-11-22,0.45329913,0.14285715
2023-11-24,0.44615126,0.14285715
2023-11-27,0.4475339,0.14285715
2023-11-28,0.45990372,0.14285715
2023-11-29,0.46765092,0.14285713
2023-11-30,0.46805996,0.14285713
2023-12-01,0.46969447,0.14285715
2023-12-04,0.46225214,0.14285712
2023-12-05,0.45485315,0.14285715
2023-12-06,0.44043797,0.14285713
2023-12-07,0.4343295,0.14285715
2023-12-08,0.42741433,0.14285713
2023-12-11,0.43128034,0.14285715
2023-12-12,0.4424632,0.14285713
2023-12-13,0.45075357,0.14285715
2023-12-14,0.45257628,0.14285715
2023-12-15,0.44405925,0.14285715
2023-12-18,0.43455887,0.14285713
2023-12-19,0.42168337,0.14285715
2023-12-20,0.41080016,0.14285715
2023-12-21,0.40724882,0.14285713
2023-12-22,0.40102458,0.14285715
2023-12-26,0.40858826,0.14285715
2023-12-27,0.42402384,0.14285715
2023-12-28,0.4522855,0.14285715
2023-12-29,0.4578342,0.14285715
2024-01-02,0.4686082,0.14285715
2024-01-03,0.47079408,0.14285715
2024-01-04,0.4714485,0.14285713
2024-01-05,0.48020792,0.14285715
2024-01-08,0.4773626,0.14285715
2024-01-09,0.47987366,0.14285715
2024-01-10,0.4889386,0.14285712
2024-01-11,0.48872155,0.14285715
2024-01-12,0.49254647,0.14285715
2024-01-16,0.4946003,0.14285715
2024-01-17,0.49487743,0.14285713
2024-01-18,0.49872082,0.14285713
2024-01-19,0.5080773,0.14285715
2024-01-22,0.5113415,0.14285715
2024-01-23,0.5136312,0.14285713
2024-01-24,0.5184406,0.14285715
2024-01-25,0.51255006,0.14285713
2024-01-26,0.5044578,0.14285715
2024-01-29,0.49485776,0.14285715
2024-01-30,0.48730034,0.14285715
2024-01-31,0.49085063,0.14285715
2024-02-01,0.49508387,0.14285712
2024-02-02,0.49382034,0.14285715
2024-02-05,0.49389708,0.14285715
2024-02-06,0.4937289,0.14285715
2024-02-07,0.4870868,0.14285715
2024-02-08,0.4813707,0.14285715
2024-02-09,0.4777417,0.14285715
2024-02-12,0.46320575,0.14285712
2024-02-13,0.4557318,0.14285715
2024-02-14,0.46386245,0.14285715
2024-02-15,0.45852557,0.14285715
2024-02-16,0.460273,0.14285715
2024-02-20,0.47984868,0.14285715
2024-02-21,0.4850342,0.14285713
2024-02-22,0.4864879,0.14285713
2024-02-23,0.4907981,0.14285715
2024-02-26,0.4873122,0.14285715
2024-02-27,0.48456147,0.14285715
2024-02-28,0.49298227,0.14285715
2024-02-29,0.48659965,0.14285715
2024-03-01,0.48238313,0.14285715
2024-03-04,0.48402232,0.14285716
2024-03-05,0.4882635,0.14285713
2024-03-06,0.49432266,0.14285715
2024-03-07,0.49317744,0.14285713
2024-03-08,0.49300283,0.14285715
2024-03-11,0.48946294,0.14285715
2024-03-12,0.48685196,0.14285715
2024-03-13,0.49054283,0.14285713
2024-03-14,0.49445623,0.14285712
2024-03-15,0.4914288,0.14285715
2024-03-18,0.4913136,0.14285715
2024-03-19,0.49536127,0.14285715
2024-03-20,0.48787224,0.14285715
2024-03-21,0.48131764,0.14285715
2024-03-22,0.49092746,0.14285716
2024-03-25,0.48815864,0.14285715
2024-03-26,0.48184395,0.14285715
2024-03-27,0.49672332,0.14285715
2024-03-28,0.4952273,0.14285715
2024-04-01,0.49593186,0.14285716
2024-04-02,0.50427324,0.14285715
2024-04-03,0.51512474,0.14285715
2024-04-04,0.51782686,0.14285715
2024-04-05,0.5206318,0.14285715
2024-04-08,0.5184234,0.14285715
2024-04-09,0.5239939,0.14285715
2024-04-10,0.531993,0.14285713
2024-04-11,0.53590953,0.14285715
2024-04-12,0.533957,0.14285713
2024-04-15,0.5394584,0.14285715
2024-04-16,0.535978,0.14285715
2024-04-17,0.54396737,0.14285715
2024-04-18,0.5551534,0.14285716
2024-04-19,0.5630894,0.14285715
2024-04-22,0.56775475,0.14285715
2024-04-23,0.5754204,0.14285715
2024-04-24,0.5660744,0.14285715
2024-04-25,0.5560266,0.14285713
2024-04-26,0.5570353,0.14285715
2024-04-29,0.54676324,0.14285715
