date,LSTM,GRU,CNN-LSTM,ATT-LSTM,Transformer
2023-12-19,0.23859698893231204,0.060737624468209996,0.1987041224620902,0.1512081917938964,0.23904710174294397
2023-12-20,0.24173539410681313,0.0575086334716794,0.19899472719594466,0.15411279879221795,0.24170952712899202
2023-12-21,0.23945464050051238,0.048866250209035005,0.20463797634046832,0.15495060786755524,0.2424984232239179
2023-12-22,0.23359415861586968,0.045655803284471816,0.20194203384009668,0.1654588970070866,0.25196319399741407
2023-12-25,0.25615498917596774,0.06977313574341586,0.20179102048640443,0.18710467493670632,0.27150373467974454
2023-12-26,0.24228846490355077,0.0659886630248913,0.188505522429461,0.17424128115699322,0.2596141507330045
2023-12-27,0.1924493346189805,0.032822372963039685,0.14194615309963698,0.12952526943920423,0.21722572431594647
2023-12-28,0.22243061623469088,0.048000454755424755,0.1705005648778085,0.15712683714221354,0.2429359895047683
2023-12-29,0.2475004682048738,0.07665643917392796,0.1955569171034978,0.1817317653197145,0.26491592044370327
2024-01-01,0.2385479176314734,0.0567767700080249,0.18417968363211168,0.17679899345667363,0.2573074949227777
2024-01-02,0.2163552940037724,0.05350910500965852,0.16543581108379923,0.1738545163736538,0.23794931518286352
2024-01-03,0.23058458492360626,0.08311618319905653,0.15514305380278404,0.19790671554627912,0.2526927018338805
2024-01-04,0.21508043122296194,0.07472119703258136,0.1425575332937809,0.1928563964947874,0.2503648537509718
2024-01-05,0.19529587876165144,0.07189984123930589,0.12319164116476773,0.18526141532962612,0.23312359024331475
2024-01-08,0.14292729196199108,0.05021825155491378,0.07296207801512569,0.16753508405233009,0.19068135134521136
2024-01-09,0.1332236832024082,0.047454804761569186,0.08215943532112983,0.18191073186309512,0.1982390856298006
2024-01-10,0.14769229195735173,0.06250724722938053,0.09672626882403822,0.19483122648214637,0.21062936858234543
2024-01-11,0.15986408116782255,0.08526829882179877,0.1069262689428322,0.21396224923069687,0.21884009724804285
2024-01-12,0.16817471726749939,0.09378886901763167,0.10297504043778219,0.22159661204632078,0.2135158293395139
2024-01-15,0.1670520885994449,0.089956877855257,0.10188776586166551,0.21802433573881008,0.2545216467454598
2024-01-16,0.13437766463639636,0.08153219772824165,0.06840754757534394,0.21008025100980346,0.22538863842416415
2024-01-17,0.1221949748048552,0.0738712387675537,0.05644716528613125,0.2028831238514826,0.21411463702278508
2024-01-18,0.13231597842920725,0.09802839211900932,0.0672413218449138,0.22121857422854538,0.22272793511671882
2024-01-19,0.1315029423478685,0.09982948115363213,0.06642764882823755,0.22391046144828292,0.2219873732895008
2024-01-22,0.1250417753654705,0.09706836767660298,0.060099852174796346,0.218809326681052,0.21597903321766315
2024-01-23,0.11218908817694205,0.0845138357306783,0.047993522546407284,0.20173902894822202,0.20356816794964716
2024-01-24,0.13085341181291105,0.1029397873814674,0.0688234289187176,0.2192431503920049,0.22117020936641535
2024-01-25,0.1170440059927274,0.08968532609888384,0.03764557252852269,0.20549317559052546,0.20731534407507587
2024-01-26,0.15136269719749276,0.1244485770694343,0.07278980288714035,0.23601487776445193,0.23793385465969513
2024-01-29,0.14581045883677993,0.1189098096250073,0.06484019676515528,0.2308895831307994,0.2327856665206116
2024-01-30,0.1204269691888061,0.09059964317077183,0.03368786655316783,0.20784840215060407,0.20971936071325975
2024-01-31,0.09376077143204316,0.07084765024767682,0.03368786655316783,0.18574587510171825,0.1874772349604108
2024-02-01,0.11409277579405314,0.08896813653001139,0.03625802620466417,0.18919187475504567,0.19092977076484782
2024-02-02,0.07270973698033555,0.051946918873503126,0.037995893530141156,0.15135200707963384,0.15285570380195546
2024-02-05,0.07091387585493336,0.020205968804151004,0.006775189429334264,0.12020828032004109,0.12155302452037292
2024-02-06,0.08010653058556669,0.021833801372522003,0.016073245147760675,0.1240131918398456,0.12537435069433447
2024-02-07,0.09427481974367885,0.032970817715805414,0.030310061039587687,0.12362283361927819,0.12498207731127083
2024-02-08,0.07157407216611553,0.006976979727354172,0.02472745703642108,0.10101677618717299,0.10231100836084843
2024-02-09,0.022790872264351406,-0.04161374932192003,-0.0059738383224854415,0.05622706441081426,0.057377283331866605
2024-02-12,0.04358636597357836,-0.02018750196081609,0.016057826473658082,0.06962192679066925,0.07080459873251965
2024-02-13,0.07071710832086316,0.008084937601672329,0.04730847785967699,0.08730136474146633,0.08851752564519955
2024-02-14,0.07122378279148724,0.008582119030114773,0.04829888795457412,0.08603897578462544,0.0872509209126319
2024-02-15,0.05762501489685442,-0.002117882548660288,0.03931589265260566,0.0652917457431239,0.06847319255788027
2024-02-16,0.05762501489685442,0.02113689935521507,0.062380408733773964,0.08692990582576536,0.09085338797111578
2024-02-19,0.04774116656825685,0.02836785192385161,0.04221071199474133,0.07832748032320871,0.08225303412390965
2024-02-20,0.011048062954000754,0.02745447504979353,0.004851459050377093,0.04482167480884159,0.048530666676888
2024-02-21,0.041902024923109085,0.05931291754438058,0.03622254139205186,0.0731689462088742,0.07708076457620416
2024-02-22,0.034440217856372836,0.05201658793216119,0.03085673425118502,0.06685310908511753,0.07078875329786087
2024-02-23,0.0363329574941902,0.056063406774266245,0.062217675716615184,0.07034848502604917,0.07426900650319931
2024-02-26,0.04407210868412725,0.08498865028451306,0.09093281389198556,0.09751548605364964,0.10145906927457554
2024-02-27,0.03856228860940245,0.07954837750394768,0.0855214198697553,0.09554107245426323,0.09740113127119313
2024-02-28,0.01907620188997237,0.060705861823118115,0.06683429601440163,0.07911735634424805,0.07884887564152465
2024-02-29,0.0176902068116528,0.05933431299099977,0.06306246788028981,0.0882998310189133,0.08604343360207771
2024-03-01,0.0013500794935830535,0.043400192245701706,0.055902594580719306,0.08007349013969897,0.07221797065045202
2024-03-04,0.0030797813122487665,0.04511786665866298,0.05773324947151355,0.08157279569428966,0.07371881559638743
2024-03-05,0.05024920871704424,0.09326015481468779,0.10362637476042125,0.12392961335962968,0.1159452637558207
2024-03-06,0.055109677161489755,0.09772420666514867,0.08347506375556783,0.127707787470477,0.11977502524346784
2024-03-07,0.037956756443064524,0.08082371760167875,0.08347506375556785,0.11107922970247502,0.10310055803500845
2024-03-08,0.04087917599994893,0.08371544770007304,0.10186984842040069,0.12449461180619935,0.11650357567191418
2024-03-11,0.0431803180425309,0.08599510880376467,0.1042018705342603,0.14047387314367651,0.13245241149395964
2024-03-12,0.04941788536088299,0.0921450446816437,0.11058322956755316,0.14311053971950566,0.13509519620625746
2024-03-13,0.04253161463152704,0.08775088775693812,0.06257052996422391,0.09778136318375469,0.08918551413238972
2024-03-14,0.023673505869306312,0.07015301000723931,0.04152618826732115,0.07900510599489727,0.07275746445183302
2024-03-15,0.04307697426694922,0.08656275071463757,0.06259665857700243,0.10325880816457234,0.09046131945810496
2024-03-18,0.039513103322922696,0.08963691437623136,0.06137392740121855,0.09995619699268592,0.08715865078250411
2024-03-19,0.02760045635482682,0.0773455114741573,0.040895975618881385,0.08605230066247144,0.07338126585997524
2024-03-20,0.01532968044400502,0.06484177200160063,0.024755438462240414,0.060575767294080415,0.04794009011599166
2024-03-21,0.015376880652188882,0.06488574556372857,0.04783367199209452,0.06061751188799674,0.04798246826232225
2024-03-22,0.020966845015443693,0.0704365831690054,0.05385955402375304,0.06583214494606647,0.05319510868681366
2024-03-25,0.05042213441545928,0.1006951430848342,0.08391164790233718,0.09402386214356076,0.08114777699546605
2024-03-26,0.0654891204946121,0.11471208895662989,0.06786832431949379,0.10741921351888577,0.09475166593865912
2024-03-27,0.04095593741213042,0.09119259636469801,0.04078588681965187,0.08513938971522522,0.07229047760978449
2024-03-28,0.05483597699727848,0.10542435495539983,0.059273070083915344,0.09837092068043958,0.08541479760072979
2024-03-29,0.06400770306732761,0.11453030804916801,0.0663688183200888,0.10690117577045884,0.09394125658276986
2024-04-01,0.04150409973735644,0.09329157786873889,0.07107882007557549,0.08906940123000374,0.07587965169243632
2024-04-02,0.046451945799039614,0.10089505981077493,0.07388853888534655,0.11241771450662885,0.09934023715069716
2024-04-03,0.05388833172106297,0.10346193578666145,0.0792801422809363,0.12479809647862242,0.11168447528227472
2024-04-04,0.07399073758676163,0.124075837245983,0.09459406843623365,0.14034368081136558,0.1270898379670102
2024-04-05,0.07399073758676146,0.12407583724598249,0.07463146958393772,0.14308259818374078,0.12986144945367104
2024-04-08,0.06625738356626489,0.11661644761650915,0.0661733534654522,0.1362432145095358,0.12298721321453322
2024-04-09,0.03717211917852172,0.08843516470261877,0.03419755045886094,0.11046839605829363,0.09711332872900023
